Time Step,Susceptible,Infected,Recovered,Infected/Total
156,2351,0,149,0.0
157,2351,0,149,0.0
158,2351,0,149,0.0
159,2351,0,149,0.0
160,2351,0,149,0.0
161,2351,0,149,0.0
162,2351,0,149,0.0
163,2351,0,149,0.0
164,2351,0,149,0.0
165,2351,0,149,0.0
166,2351,0,149,0.0
167,2351,0,149,0.0
168,2351,0,149,0.0
169,2351,0,149,0.0
170,2351,0,149,0.0
171,2351,0,149,0.0
172,2351,0,149,0.0
173,2351,0,149,0.0
174,2351,0,149,0.0
175,2351,0,149,0.0
176,2351,0,149,0.0
177,2351,0,149,0.0
178,2351,0,149,0.0
179,2351,0,149,0.0
180,2351,0,149,0.0
181,2351,0,149,0.0
182,2351,0,149,0.0
183,2351,0,149,0.0
184,2351,0,149,0.0
185,2351,0,149,0.0
186,2351,0,149,0.0
187,2351,0,149,0.0
188,2351,0,149,0.0
189,2351,0,149,0.0
190,2351,0,149,0.0
191,2351,0,149,0.0
192,2351,0,149,0.0
193,2351,0,149,0.0
194,2351,0,149,0.0
195,2351,0,149,0.0
196,2351,0,149,0.0
197,2351,0,149,0.0
198,2351,0,149,0.0
199,2351,0,149,0.0
200,2351,0,149,0.0
1,2497,3,0,0.0012
2,2495,3,2,0.0012
3,2492,5,3,0.002
4,2490,5,5,0.002
5,2487,5,8,0.002
6,2485,5,10,0.002
7,2481,7,12,0.0028
8,2479,5,16,0.002
9,2476,5,19,0.002
10,2475,4,21,0.0016
11,2473,2,25,8.0E-4
12,2470,3,27,0.0012
13,2468,4,28,0.0016
14,2466,3,31,0.0012
15,2463,4,33,0.0016
16,2459,7,34,0.0028
17,2455,9,36,0.0036
18,2447,13,40,0.0052
19,2438,16,46,0.0064
20,2428,18,54,0.0072
21,2423,16,61,0.0064
22,2414,20,66,0.008
23,2406,18,76,0.0072
24,2394,22,84,0.0088
25,2377,28,95,0.0112
26,2362,29,109,0.0116
27,2345,33,122,0.0132
28,2324,41,135,0.0164
29,2309,41,150,0.0164
30,2292,40,168,0.016
31,2275,41,184,0.0164
32,2261,31,208,0.0124
33,2244,31,225,0.0124
34,2223,39,238,0.0156
35,2203,40,257,0.016
36,2183,42,275,0.0168
37,2164,39,297,0.0156
38,2143,46,311,0.0184
39,2124,47,329,0.0188
40,2104,47,349,0.0188
41,2086,49,365,0.0196
42,2058,55,387,0.022
43,2040,46,414,0.0184
44,2015,47,438,0.0188
45,1992,49,459,0.0196
46,1965,58,477,0.0232
47,1942,57,501,0.0228
48,1913,61,526,0.0244
49,1881,56,563,0.0224
50,1858,58,584,0.0232
51,1841,41,618,0.0164
52,1824,42,634,0.0168
53,1802,41,657,0.0164
54,1783,48,669,0.0192
55,1762,55,683,0.022
56,1739,51,710,0.0204
57,1712,53,735,0.0212
58,1690,48,762,0.0192
59,1669,48,783,0.0192
60,1649,46,805,0.0184
61,1635,38,827,0.0152
